taxonomy_id	name	rank	BGG_KOSDC	BGG_MOSDA	BGG_QOSDA	BGG_POSDC	BGG_BOSW	BGG_NOSDA	BGG_LOSDA	BGG_ROSDA	BGG_OOSDC
213485	Micavibrio	genus	0	0	0	0	0	0	0	0	0
349221	Micavibrio aeruginosavorus	species	3	4	7	3	171	0	22	11	14
349215	Micavibrio aeruginosavorus EPB	strain	5	3	2	0	112	4	9	5	1
856793	Micavibrio aeruginosavorus ARL-13	strain	4	10	6	0	225	9	14	0	3
62654	SAR116 cluster	clade	0	0	0	0	0	0	0	0	0
767891	Candidatus Puniceispirillum	genus	0	0	0	0	0	0	0	0	0
767892	Candidatus Puniceispirillum marinum	species	0	0	0	0	0	0	0	0	0
488538	Candidatus Puniceispirillum marinum IMCC1322	strain	4	0	0	0	55	1	0	4	7
28216	Betaproteobacteria	class	336141	199670	48606	275025	157256	42670	168139	32665	954666
80840	Burkholderiales	order	587256	325061	66804	351136	314264	74681	91352	53447	2479872
80864	Comamonadaceae	family	166635	133522	21705	76648	211636	27804	30839	18699	1445096
34072	Variovorax	genus	55105	10370	1401	18251	20403	13940	1497	4140	69624
663243	unclassified Variovorax	no rank	44273	7969	884	11752	23061	3519	731	2459	55699
2681552	Variovorax sp. RKNM96	species	5670	502	87	323	610	451	76	430	908
662548	Variovorax sp. RA8	species	2749	493	55	1013	2386	260	131	179	2945
207745	Variovorax sp. WDL1	species	2484	821	53	1243	1556	156	69	133	4004
1034889	Variovorax sp. HW608	species	1987	710	82	856	1926	178	120	118	2395
1795631	Variovorax sp. PAMC 28711	species	1193	318	34	521	7072	172	146	109	1214
434009	Variovorax sp. PBL-H6	species	908	219	33	341	1455	105	20	66	1621
282217	Variovorax sp. SRS16	species	739	156	32	202	354	53	11	51	553
434008	Variovorax sp. PBS-H4	species	658	144	33	169	1291	60	22	127	1132
2762322	Variovorax sp. PAMC26660	species	599	121	58	288	805	202	14	80	844
2762323	Variovorax sp. PAMC28562	species	491	134	5	214	1002	52	7	41	1108
434014	Variovorax sp. PBL-E5	species	414	224	30	209	388	123	12	40	591
